shop_id,product_id,allocated_cartons
S001,P02,3
S001,P03,10
S001,P04,17
S001,P05,8
S001,P06,1
S001,P07,3
S001,P09,8
S001,P10,1
S002,P01,11
S002,P03,5
S002,P04,8
S002,P05,4
S002,P07,9
S002,P08,2
S002,P09,5
S002,P10,2
S003,P02,7
S003,P04,4
S003,P05,3
S003,P06,1
S003,P07,2
S003,P08,2
S003,P09,1
S003,P10,1
S004,P02,8
S004,P03,12
S004,P04,18
S004,P05,9
S004,P07,10
S004,P08,11
S004,P09,18
S004,P10,8
S005,P02,3
S005,P03,1
S005,P04,9
S005,P05,5
S005,P06,3
S005,P07,2
S005,P08,6
S005,P09,1
S005,P10,2
S006,P01,5
S006,P03,1
S006,P04,10
S006,P05,9
S006,P07,7
S006,P08,5
S006,P09,5
S006,P10,3
S007,P01,1
S007,P03,3
S007,P04,12
S007,P05,11
S007,P06,2
S007,P07,8
S007,P08,1
S007,P09,5
S007,P10,3
S008,P02,2
S008,P03,1
S008,P04,8
S008,P07,5
S008,P09,2
S009,P02,1
S009,P04,1
S009,P05,5
S009,P07,3
S009,P08,2
S010,P01,1
S010,P02,5
S010,P04,5
S010,P05,1
S011,P02,7
S011,P04,13
S011,P05,5
S011,P06,1
S011,P07,4
S011,P08,8
S011,P09,5
S011,P10,1
S012,P02,2
S012,P03,5
S012,P05,3
S012,P07,4
S012,P08,6
S012,P09,3
S012,P10,2
S013,P01,8
S013,P04,9
S013,P05,7
S013,P07,5
S013,P09,6
S014,P01,1
S014,P02,1
S014,P03,11
S014,P04,10
S014,P07,8
S014,P09,20
S014,P10,1
S015,P02,1
S015,P03,6
S015,P04,11
S015,P05,5
S015,P06,2
S015,P07,2
S015,P09,3
S015,P10,2
S016,P01,5
S016,P02,6
S016,P03,3
S016,P04,10
S016,P05,2
S016,P07,2
S016,P09,6
S016,P10,1
S017,P01,3
S017,P02,2
S017,P04,10
S017,P05,8
S017,P06,8
S017,P07,8
S017,P08,6
S017,P09,10
S017,P10,5
S018,P02,6
S018,P04,7
S018,P06,3
S018,P07,3
S018,P08,1
S018,P09,1
S018,P10,3
S019,P02,2
S019,P07,1
S019,P08,5
S020,P04,2
S020,P07,3
S020,P09,3
S021,P01,2
S021,P03,8
S021,P04,7
S021,P05,6
S021,P06,3
S021,P07,4
S021,P08,1
S021,P09,11
S021,P10,4
S022,P01,1
S022,P03,4
S022,P04,8
S022,P05,2
S022,P07,5
S022,P08,2
S022,P10,2
S023,P01,7
S023,P03,3
S023,P04,2
S023,P07,1
S023,P09,2
S024,P01,2
S024,P04,10
S024,P05,2
S024,P06,2
S024,P07,4
S024,P08,9
S024,P09,14
S024,P10,4
S025,P01,6
S025,P02,1
S025,P03,1
S025,P04,5
S025,P07,1
S025,P10,3
S026,P02,6
S026,P03,2
S026,P04,10
S026,P10,1
S027,P01,1
S027,P02,2
S027,P03,5
S027,P04,6
S027,P05,6
S027,P07,3
S027,P09,5
S027,P10,2
S028,P02,3
S028,P04,3
S028,P05,2
S028,P09,8
S028,P10,3
S029,P05,2
S029,P07,1
S029,P09,2
S030,P01,2
S030,P02,5
S030,P04,4
S030,P07,2
S030,P08,2
S031,P01,12
S031,P02,2
S031,P03,8
S031,P04,9
S031,P05,3
S031,P06,3
S031,P07,7
S031,P10,4
S032,P01,2
S032,P02,2
S032,P03,2
S032,P05,6
S032,P07,2
S032,P08,4
S032,P09,1
S032,P10,2
S033,P01,2
S033,P02,2
S033,P03,3
S033,P04,5
S033,P06,2
S033,P07,4
S033,P08,2
S033,P09,6
S034,P01,3
S034,P03,8
S034,P04,11
S034,P06,3
S034,P07,4
S034,P08,2
S034,P09,6
S034,P10,2
S035,P01,1
S035,P03,3
S035,P04,1
S035,P05,1
S035,P06,2
S035,P07,1
S035,P09,5
S036,P01,5
S036,P02,2
S036,P03,4
S036,P04,5
S036,P05,5
S036,P07,3
S036,P08,5
S036,P09,1
S036,P10,2
S037,P02,1
S037,P03,5
S037,P04,10
S037,P05,3
S037,P07,6
S037,P08,6
S038,P03,2
S038,P04,7
S038,P07,3
S038,P08,3
S038,P10,3
S039,P02,1
S039,P04,1
S040,P01,3
S040,P04,4
S040,P09,1
S040,P10,1
S041,P02,2
S041,P03,2
S041,P04,13
S041,P05,4
S041,P06,2
S041,P07,4
S041,P08,8
S041,P09,12
S041,P10,2
S042,P02,6
S042,P03,2
S042,P04,8
S042,P05,2
S042,P06,4
S043,P03,2
S043,P04,3
S043,P05,1
S043,P06,3
S043,P07,1
S043,P08,7
S043,P10,1
S044,P03,8
S044,P04,13
S044,P05,6
S044,P07,4
S044,P09,4
S044,P10,4
S045,P01,3
S045,P02,10
S045,P04,3
S045,P05,1
S045,P07,6
S045,P08,6
S045,P09,8
S045,P10,5
S046,P01,1
S046,P03,3
S046,P04,8
S046,P09,8
S047,P01,1
S047,P02,2
S047,P03,2
S047,P04,15
S047,P05,5
S047,P07,4
S047,P08,2
S047,P10,3
S048,P03,2
S048,P04,8
S048,P05,1
S048,P06,2
S048,P07,2
S048,P08,5
S049,P04,4
S049,P05,3
S049,P07,1
S049,P09,1
S050,P01,1
S050,P05,1
S050,P07,2
S050,P08,1
S050,P09,5
