Outlet ID,Outlet Name,Address,Latitude,Longitude,,,,,,,,,,,,,,,,,,,,
1047234,Amman Stores,"163/b,Avissawella road,Orugodawatta",6.943,79.8825,,,,,,,,,,,,,,,,,,,,
1038858,Chathurani stores,"9,Avissawella road, Orugodawatta",6.923149,80.0244324,,,,,,,,,,,,,,,,,,,,
649386,DARSHANI STORES,"85/26,Avissawella road, Orugodawatta",6.9431,79.8824,,,,,,,,,,,,,,,,,,,,
1052986,Ever fresh bakers,"25,Thorana Junntion,Kelaniya",6.9594,79.9212,,,,,,,,,,,,,,,,,,,,
727815,FARSHANA HOTEL,"109,Avissawella road, Orugodawatta",6.9433,79.8826,,,,,,,,,,,,,,,,,,,,
19219,GRAIN STORES,"118,Avissawella road,Orugodawatta",6.9434,79.8827,,,,,,,,,,,,,,,,,,,,
1049191,Ishara snackers .,"231,Kandy road, Peliyagoda",6.9553,79.8787,,,,,,,,,,,,,,,,,,,,
289781,ISURU STORES,"36/c,Avissawella road,Orugodawatta",6.943,79.8822,,,,,,,,,,,,,,,,,,,,
1059497,Jayaneris bakery,"635,Wilahena road,Gonawala",6.9625,79.9281,,,,,,,,,,,,,,,,,,,,
681720,K S PERERA,"633,Wilahena road, Gonawala",6.9624,79.928,,,,,,,,,,,,,,,,,,,,
1052985,Kavinda bake house,"89,Station road,Kelaniya",6.9568,79.9145,,,,,,,,,,,,,,,,,,,,
1050100,Lakmal Stores,"107,parakrama road,Peliyagoda",6.954,79.8795,,,,,,,,,,,,,,,,,,,,
1025958,Metro Pex Traders,"191/27,Avissawella road,Orugodawatta",6.9432,79.8825,,,,,,,,,,,,,,,,,,,,
1035964,Nadan stores,"85/137,Avissawella road, Orugodawatta",6.9445,79.884,,,,,,,,,,,,,,,,,,,,
19241,PRAGATHI STORES,"15,Avissawella road, Orugodawatta",6.9425,79.882,,,,,,,,,,,,,,,,,,,,
1038859,Rashini stores,"179/110a,Avissawella road,Orugodawatta",6.945,79.8845,,,,,,,,,,,,,,,,,,,,
236970,ROYAL FOOD CENTER,"56,Avissawella road,Orugodawatta",6.9433,79.8829,,,,,,,,,,,,,,,,,,,,
235822,SANJANA GRAM,"74/b,Avissawella road,Orugodawatta",6.944,79.8835,,,,,,,,,,,,,,,,,,,,
267031,SRI KALASALA,"38/a,Bandaranayake road, Kelaniya",6.9555,79.9158,,,,,,,,,,,,,,,,,,,,
1035965,Telebrow Canteen,"287,Kandy road,Peliyagoda",6.9562,79.8793,,,,,,,,,,,,,,,,,,,,
19213,UPUL HOTEL,"123, Biyagama road, Pattiya",6.9585,79.9265,,,,,,,,,,,,,,,,,,,,
173578,WAJEERA  HOTEL,"9/a,Awissawella road,Orugodawatta",6.9437,79.8832,,,,,,,,,,,,,,,,,,,,
19526,ABESIRI STORES,"186/43,Dutugamunu mawatha",6.9605,79.881,,,,,,,,,,,,,,,,,,,,
682270,MANIKEGE KADE,"469/22,Kandy road, Kelaniya",6.9678,79.8816,,,,,,,,,,,,,,,,,,,,
682593,THARINDI STORES,"469/18,Kandy road, Kelaniya",6.9675,79.8815,,,,,,,,,,,,,,,,,,,,
19510,HEMALI STORES,"348/a,Dutugamunu mawatha",6.9618,79.8812,,,,,,,,,,,,,,,,,,,,
19525,KUMARA STORES,"86/164,Dutugamunu mawatha",6.9626,79.8813,,,,,,,,,,,,,,,,,,,,
156783,GAMINI ST,"51,Dutugamunu mawatha",6.9634,79.8814,,,,,,,,,,,,,,,,,,,,
19522,NERANJAN STORES,"63,,Dutugamunu mawatha",6.9642,79.8815,,,,,,,,,,,,,,,,,,,,
669010,RENUKA STORES,"86/59a,Dutugamunu mawatha",6.965,79.8816,,,,,,,,,,,,,,,,,,,,
263554,KUMARA STORES,"360/3,Dutugamunu mawatha",6.9658,79.8817,,,,,,,,,,,,,,,,,,,,
243284,DILINI STORES,"20/20/1,Dutugamunu mawatha",6.9666,79.8818,,,,,,,,,,,,,,,,,,,,
187254,IDUWARA STORES,"94/2,Dutugamunu mawatha",6.9672,79.8819,,,,,,,,,,,,,,,,,,,,
191574,SADAMALI STORES,"326,Dutugamunu Mawatha",6.968,79.882,,,,,,,,,,,,,,,,,,,,
334942,SIRISENA & SONS,"608,first floor",6.9699,79.89,,,,,,,,,,,,,,,,,,,,
312806,S.N STORES,"287,Kandy road,Peliyagoda",6.9489,79.9012,,,,,,,,,,,,,,,,,,,,
19296,MADUWANTHI TRADERS,"481/a,biyagama rd, peliyagoda",6.9478,79.9125,,,,,,,,,,,,,,,,,,,,
19309,UDESHIKA STORES,"485,petiyagoda,kelaniya",6.9482,79.9058,,,,,,,,,,,,,,,,,,,,
179686,HEMARATHNA STORES,"70/a,biyagama road",6.9469,79.918,,,,,,,,,,,,,,,,,,,,
19249,CHANDIMA STORES,"437/a,gonagampala,pilapiyiya,kelaniya",6.9492,79.9095,,,,,,,,,,,,,,,,,,,,
19289,SHANTHA STORES,"282/a,kandy road,peliyagoda",6.9485,79.902,,,,,,,,,,,,,,,,,,,,
19290,NANDANEE STORES,"516/a, biyagama road",6.9462,79.9205,,,,,,,,,,,,,,,,,,,,
19292,ALMEDA STORES,"141, biyagama road, pattiya",6.9456,79.9258,,,,,,,,,,,,,,,,,,,,
19474,KALPA SUPER,"329/1, biyagama road",6.9472,79.915,,,,,,,,,,,,,,,,,,,,
