Date	Sku Id	SKU	Cases	Units	Total Units	Stock Volume (In Kg)	Selling Price	Total Amount
25-07-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	5	5	1.15	207	1035
29-07-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	12	12	2.76	207	2484
30-07-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	6	6	1.38	207	1242
31-07-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	6	6	1.38	207	1242
02-08-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	11	11	2.53	207	2277
05-08-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	12	12	2.76	207	2484
06-08-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	3	11	83	19.09	207	17181
08-08-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	3	3	0.69	207	621
13-08-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	6	6	1.38	207	1242
14-08-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	3	3	0.69	207	621
15-08-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	3	3	0.69	207	621
16-08-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	15	15	3.45	207	3105
18-08-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	4	4	0.92	207	828
19-08-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	12	12	2.76	207	2484
20-08-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	12	12	2.76	207	2484
21-08-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	7	7	1.61	207	1449
22-08-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	7	7	1.61	207	1449
25-08-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	3	3	0.69	207	621
27-08-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	12	12	2.76	207	2484
28-08-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	2	2	0.46	207	414
29-08-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	3	3	0.69	207	621
01-09-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	2	2	0.46	207	414
02-09-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	3	3	0.69	207	621
03-09-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	2	23	71	16.33	207	14697
18-09-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	3	0	72	16.56	207	14904
26-09-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	5	6	126	28.98	207	26082
27-09-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	18	18	4.14	207	3726
29-09-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	6	6	1.38	207	1242
01-10-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	5	5	1.15	207	1035
02-10-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	3	0	72	16.56	207	14904
03-10-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	2	2	0.46	207	414
04-10-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	11	11	2.53	207	2277
10-10-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	15	15	3.45	207	3105
11-10-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	1	3	27	6.21	207	5589
13-10-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	6	6	1.38	207	1242
14-10-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	8	8	1.84	207	1656
15-10-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	2	2	0.46	207	414
17-10-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	8	8	1.84	207	1656
18-10-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	6	6	1.38	207	1242
20-10-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	13	13	2.99	207	2691
21-10-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	11	11	2.53	207	2277
22-10-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	6	6	1.38	207	1242
23-10-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	3	3	0.69	207	621
25-10-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	12	12	2.76	207	2484
29-10-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	14	14	3.22	207	2898
31-10-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	9	9	2.07	207	1863
03-11-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	3	3	0.69	207	621
04-11-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	6	6	1.38	207	1242
07-11-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	7	7	1.61	207	1449
11-11-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	6	6	1.38	207	1242
12-11-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	1	6	30	6.9	207	6210
13-11-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	16	16	3.68	207	3312
14-11-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	14	14	3.22	207	2898
15-11-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	21	21	4.83	207	4347
16-11-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	15	15	3.45	207	3105
17-11-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	6	6	1.38	207	1242
20-11-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	3	3	0.69	207	621
21-11-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	3	3	0.69	207	621
22-11-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	4	4	0.92	207	828
26-11-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	3	3	0.69	207	621
27-11-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	12	12	2.76	207	2484
01-12-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	23	23	5.29	207	4761
02-12-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	1	9	33	7.59	207	6831
03-12-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	6	6	1.38	207	1242
04-12-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	6	6	1.38	207	1242
05-12-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	10	10	2.3	207	2070
06-12-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	17	17	3.91	207	3519
08-12-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	9	9	2.07	207	1863
09-12-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	11	11	2.53	207	2277
10-12-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	1	6	30	6.9	207	6210
11-12-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	12	12	2.76	207	2484
12-12-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	1	0	24	5.52	207	4968
13-12-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	1	2	26	5.98	207	5382
16-12-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	12	12	2.76	207	2484
17-12-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	12	12	2.76	207	2484
18-12-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	6	6	1.38	207	1242
19-12-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	2	2	0.46	207	414
20-12-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	12	12	2.76	207	2484
22-12-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	5	5	1.15	207	1035
23-12-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	3	3	0.69	207	621
24-12-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	6	6	1.38	207	1242
25-12-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	6	6	1.38	207	1242
26-12-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	3	3	0.69	207	621
30-12-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	12	12	2.76	207	2484
31-12-2025	1433	TIKIRI MARIE 230GX24-MRP230.00	0	6	6	1.38	207	1242
01-01-2026	1433	TIKIRI MARIE 230GX24-MRP230.00	0	12	12	2.76	207	2484
05-01-2026	1433	TIKIRI MARIE 230GX24-MRP230.00	0	12	12	2.76	207	2484
08-01-2026	1433	TIKIRI MARIE 230GX24-MRP230.00	0	2	2	0.46	207	414
10-01-2026	1433	TIKIRI MARIE 230GX24-MRP230.00	0	6	6	1.38	207	1242
14-01-2026	1433	TIKIRI MARIE 230GX24-MRP230.00	0	7	7	1.61	207	1449
15-01-2026	1433	TIKIRI MARIE 230GX24-MRP230.00	1	0	24	5.52	207	4968
16-01-2026	1433	TIKIRI MARIE 230GX24-MRP230.00	0	6	6	1.38	207	1242
17-01-2026	1433	TIKIRI MARIE 230GX24-MRP230.00	0	6	6	1.38	207	1242
19-01-2026	1433	TIKIRI MARIE 230GX24-MRP230.00	0	6	6	1.38	207	1242
20-01-2026	1433	TIKIRI MARIE 230GX24-MRP230.00	0	6	6	1.38	207	1242
21-01-2026	1433	TIKIRI MARIE 230GX24-MRP230.00	0	2	2	0.46	207	414
22-01-2026	1433	TIKIRI MARIE 230GX24-MRP230.00	0	6	6	1.38	207	1242
23-01-2026	1433	TIKIRI MARIE 230GX24-MRP230.00	0	12	12	2.76	207	2484
24-01-2026	1433	TIKIRI MARIE 230GX24-MRP230.00	0	11	11	2.53	207	2277
28-01-2026	1433	TIKIRI MARIE 230GX24-MRP230.00	0	17	17	3.91	207	3519
29-01-2026	1433	TIKIRI MARIE 230GX24-MRP230.00	0	2	2	0.46	207	414
02-02-2026	1433	TIKIRI MARIE 230GX24-MRP230.00	0	3	3	0.69	207	621
03-02-2026	1433	TIKIRI MARIE 230GX24-MRP230.00	0	12	12	2.76	207	2484
06-02-2026	1433	TIKIRI MARIE 230GX24-MRP230.00	0	6	6	1.38	207	1242
08-02-2026	1433	TIKIRI MARIE 230GX24-MRP230.00	0	8	8	1.84	207	1656
10-02-2026	1433	TIKIRI MARIE 230GX24-MRP230.00	0	2	2	0.46	207	414
11-02-2026	1433	TIKIRI MARIE 230GX24-MRP230.00	0	3	3	0.69	207	621
12-02-2026	1433	TIKIRI MARIE 230GX24-MRP230.00	0	6	6	1.38	207	1242
13-02-2026	1433	TIKIRI MARIE 230GX24-MRP230.00	0	1	1	0.23	207	207
14-02-2026	1433	TIKIRI MARIE 230GX24-MRP230.00	0	3	3	0.69	207	621
17-02-2026	1433	TIKIRI MARIE 230GX24-MRP230.00	0	6	6	1.38	207	1242
19-02-2026	1433	TIKIRI MARIE 230GX24-MRP230.00	0	6	6	1.38	207	1242
20-02-2026	1433	TIKIRI MARIE 230GX24-MRP230.00	0	11	11	2.53	207	2277
23-02-2026	1433	TIKIRI MARIE 230GX24-MRP230.00	0	6	6	1.38	207	1242
24-02-2026	1433	TIKIRI MARIE 230GX24-MRP230.00	0	12	12	2.76	207	2484
26-02-2026	1433	TIKIRI MARIE 230GX24-MRP230.00	1	2	26	5.98	207	5382
27-02-2026	1433	TIKIRI MARIE 230GX24-MRP230.00	0	3	3	0.69	207	621
28-02-2026	1433	TIKIRI MARIE 230GX24-MRP230.00	0	12	12	2.76	207	2484
03-03-2026	1433	TIKIRI MARIE 230GX24-MRP230.00	0	3	3	0.69	207	621
04-03-2026	1433	TIKIRI MARIE 230GX24-MRP230.00	0	15	15	3.45	207	3105
05-03-2026	1433	TIKIRI MARIE 230GX24-MRP230.00	0	14	14	3.22	207	2898
07-03-2026	1433	TIKIRI MARIE 230GX24-MRP230.00	0	2	2	0.46	207	414
09-03-2026	1433	TIKIRI MARIE 230GX24-MRP230.00	0	6	6	1.38	207	1242
10-03-2026	1433	TIKIRI MARIE 230GX24-MRP230.00	0	6	6	1.38	207	1242
12-03-2026	1433	TIKIRI MARIE 230GX24-MRP230.00	1	0	24	5.52	207	4968
13-03-2026	1433	TIKIRI MARIE 230GX24-MRP230.00	0	2	2	0.46	207	414
14-03-2026	1433	TIKIRI MARIE 230GX24-MRP230.00	0	7	7	1.61	207	1449
16-03-2026	1433	TIKIRI MARIE 230GX24-MRP230.00	0	13	13	2.99	207	2691
17-03-2026	1433	TIKIRI MARIE 230GX24-MRP230.00	0	3	3	0.69	207	621
21-03-2026	1433	TIKIRI MARIE 230GX24-MRP230.00	0	2	2	0.46	207	414
23-03-2026	1433	TIKIRI MARIE 230GX24-MRP230.00	0	12	12	2.76	207	2484
24-03-2026	1433	TIKIRI MARIE 230GX24-MRP230.00	0	8	8	1.84	207	1656
03-04-2026	1433	TIKIRI MARIE 230GX24-MRP230.00	0	19	19	4.37	207	3933
04-04-2026	1433	TIKIRI MARIE 230GX24-MRP230.00	0	7	7	1.61	207	1449
05-04-2026	1433	TIKIRI MARIE 230GX24-MRP230.00	0	6	6	1.38	207	1242
