Sale Date,Route ID,Outlet ID,Outlets,Serial No,Gross sales,Bill Disc,Dist Disc,SKU Disc,Rebate,Market Rtn Amount,Fresh Rtn Amount,Rev.GRTS,Net Sales,Cash Sales,Cheque Sales,Credit Sales,Diff
28-07-2025,Route001,235822,SANJANA GRAM,54903,45737.4,1829.5,0,0,0,0,0,0,43907.9,0,0,43907.9,0
28-07-2025,Route001,19241,PRAGATHI STORES,54900,81066.7,3053.67,0,283.5,0,436.2,0,0,77293.33,0,77293,0.33,0
28-07-2025,Route001,727815,FARSHANA HOTEL,54893,6406.5,0,0,0,0,0,0,0,6406.5,6406.5,0,0,0
28-07-2025,Route001,1047234,Amman Stores,54892,2065.5,0,0,0,0,0,0,0,2065.5,2065.5,0,0,0
28-07-2025,Route001,649386,DARSHANI STORES,54891,5867.4,0,0,0,0,0,0,0,5867.4,5867.4,0,0,0
28-07-2025,Route001,173578,WAJEERA  HOTEL,54888,270,0,0,0,0,0,0,0,270,270,0,0,0
28-07-2025,Route001,19213,UPUL HOTEL,54885,3195,0,0,0,0,0,0,0,3195,0,0,3195,0
04-08-2025,Route001,1035964,Nadan stores,55026,1302.9,0,0,0,0,0,0,0,1302.9,1302.9,0,0,0
04-08-2025,Route001,649386,DARSHANI STORES,55023,12983.4,519.34,0,0,0,0,0,0,12464.06,12464.06,0,0,0
04-08-2025,Route001,19213,UPUL HOTEL,55020,1187.7,0,0,0,0,0,0,0,1187.7,1187.7,0,0,0
04-08-2025,Route001,1047234,Amman Stores,55017,225,0,0,0,0,0,0,0,225,0,0,225,0
11-08-2025,Route001,19241,PRAGATHI STORES,55144,79788.7,3002.55,0,283.5,0,0,0,0,76502.65,0.65,76502,0,0
11-08-2025,Route001,1038858,Chathurani stores,55141,1552.5,0,0,0,0,0,0,0,1552.5,1552.5,0,0,0
11-08-2025,Route001,727815,FARSHANA HOTEL,55139,5561.3,0,0,0,0,0,0,0,5561.3,5561.3,0,0,0
11-08-2025,Route001,649386,DARSHANI STORES,55138,4968,0,0,0,0,0,0,0,4968,4968,0,0,0
11-08-2025,Route001,173578,WAJEERA  HOTEL,55134,1080,0,0,0,0,0,0,0,1080,1080,0,0,0
11-08-2025,Route001,19213,UPUL HOTEL,55132,3631.5,0,0,0,0,0,0,0,3631.5,0,0,3631.5,0
11-08-2025,Route001,1047234,Amman Stores,55116,33774.75,0,0,0,0,0,33750,0,24.75,24.75,0,0,0
18-08-2025,Route001,19241,PRAGATHI STORES,55245,90245.5,3283.01,0,490.21,0,316.8,0,0,86155.48,0.48,86155,0,0
18-08-2025,Route001,1047234,Amman Stores,55243,5754.3,0,0,0,0,0,0,0,5754.3,5754.3,0,0,0
18-08-2025,Route001,727815,FARSHANA HOTEL,55239,3923.5,0,0,0,0,0,0,0,3923.5,3923.5,0,0,0
18-08-2025,Route001,236970,ROYAL FOOD CENTER,55238,1376.7,0,0,0,0,0,0,0,1376.7,1376.7,0,0,0
18-08-2025,Route001,649386,DARSHANI STORES,55236,8594.4,0,0,0,0,0,0,0,8594.4,8594.4,0,0,0
18-08-2025,Route001,173578,WAJEERA  HOTEL,55234,270,0,0,0,0,0,0,0,270,270,0,0,0
19-08-2025,Route001,235822,SANJANA GRAM,55259,40072.75,1474.48,0,0,0,0,0,0,38598.27,0,0,38598.27,0
19-08-2025,Route001,236970,ROYAL FOOD CENTER,55258,3218.4,0,0,0,0,2682.4,0,0,536,536,0,0,0
23-08-2025,Route001,236970,ROYAL FOOD CENTER,55348,5182.65,0,0,0,0,0,0,0,5182.65,5182.65,0,0,0
25-08-2025,Route001,1038858,Chathurani stores,55383,1404,0,0,0,0,0,0,0,1404,1404,0,0,0
25-08-2025,Route001,649386,DARSHANI STORES,55381,8505,0,0,0,0,0,0,0,8505,8505,0,0,0
25-08-2025,Route001,173578,WAJEERA  HOTEL,55378,540,0,0,0,0,0,0,0,540,540,0,0,0
01-09-2025,Route001,19241,PRAGATHI STORES,55517,69532,2592.28,0,283.5,0,0,0,0,66656.22,0.22,66656,0,0
01-09-2025,Route001,727815,FARSHANA HOTEL,55508,12305.1,473.3,0,0,0,0,0,0,11831.8,11831.8,0,0,0
01-09-2025,Route001,649386,DARSHANI STORES,55506,10109.4,404.38,0,0,0,70.4,0,0,9634.62,9634.62,0,0,0
01-09-2025,Route001,173578,WAJEERA  HOTEL,55503,540,0,0,0,0,0,0,0,540,540,0,0,0
01-09-2025,Route001,1035964,Nadan stores,55502,472.5,0,0,0,0,0,0,0,472.5,472.5,0,0,0
04-09-2025,Route001,19241,PRAGATHI STORES,55584,52920,2116.8,0,0,0,0,0,0,50803.2,0.2,50803,0,0
08-09-2025,Route001,235822,SANJANA GRAM,55671,40296.55,1533.11,0,0,0,0,0,0,38763.44,0,0,38763.44,0
08-09-2025,Route001,1047234,Amman Stores,55669,4260.3,0,0,0,0,0,0,0,4260.3,4260.3,0,0,0
08-09-2025,Route001,649386,DARSHANI STORES,55666,11645.4,428.02,0,0,0,0,0,0,11217.38,11217.38,0,0,0
08-09-2025,Route001,173578,WAJEERA  HOTEL,55664,540,0,0,0,0,0,0,0,540,540,0,0,0
