Sale Date,Route ID,Outlet ID,Outlets,Serial No,Gross sales
25-07-2025,Route003,312806,S.N STORES ,54840,19844.2
26-07-2025,Route003,19296,MADUWANTHI TRADERS,54869,1044864
28-07-2025,Route003,19309,UDESHIKA STORES,54886,36678.9
30-07-2025,Route003,179686,HEMARATHNA STORES,54951,3892.5
30-07-2025,Route003,19249,CHANDIMA STORES,54950,8775
30-07-2025,Route003,19289,SHANTHA STORES,54948,2848.8
30-07-2025,Route003,19290,NANDANEE STORES,54947,6723
30-07-2025,Route003,19292,ALMEDA STORES,54946,5102.7
30-07-2025,Route003,19474,KALPA SUPER,54935,113688.1
31-07-2025,Route003,19296,MADUWANTHI TRADERS,54958,415744
31-07-2025,Route003,19296,MADUWANTHI TRADERS,54956,90307.5
05-08-2025,Route003,342007,BIMSARA GROCERY ,55053,14922
06-08-2025,Route003,19289,SHANTHA STORES,55080,4100
06-08-2025,Route003,19289,SHANTHA STORES,55062,13538.7
06-08-2025,Route003,19290,NANDANEE STORES,55061,6649.8
06-08-2025,Route003,19292,ALMEDA STORES,55060,2099.7
12-08-2025,Route003,342007,BIMSARA GROCERY ,55147,40325.3
14-08-2025,Route003,19290,NANDANEE STORES,55179,10840.8
14-08-2025,Route003,19296,MADUWANTHI TRADERS,55174,2076872.9
14-08-2025,Route003,1050231,PERERA SHOP,55173,26774
15-08-2025,Route003,19292,ALMEDA STORES,55195,864
15-08-2025,Route003,19289,SHANTHA STORES,55194,22693.7
15-08-2025,Route003,19249,CHANDIMA STORES,55189,5085
16-08-2025,Route003,312806,S.N STORES ,55200,40424.1
20-08-2025,Route003,19290,NANDANEE STORES,55285,3915
20-08-2025,Route003,19292,ALMEDA STORES,55284,3408.6
20-08-2025,Route003,1050231,PERERA SHOP,55282,12410
20-08-2025,Route003,681940,WISDOM PHARMACY  & GROCERY ,55279,2160
20-08-2025,Route003,19292,ALMEDA STORES,55275,1115.1
21-08-2025,Route003,179686,HEMARATHNA STORES,55302,4824
23-08-2025,Route003,19296,MADUWANTHI TRADERS,55374,1375187.9
27-08-2025,Route003,312806,S.N STORES ,55422,1341
27-08-2025,Route003,19289,SHANTHA STORES,55420,12617.4
27-08-2025,Route003,19290,NANDANEE STORES,55419,10380.9
