Sale Date	Route ID	Outlet ID	Outlets	Serial No	Gross sales	Bill Disc	Dist Disc	SKU Disc	Rebate	Market Rtn Amount	Fresh Rtn Amount	Rev.GRTS	Net Sales	Cash Sales	Cheque Sales	Credit Sales	Diff
30-07-2025	Route004	264612	GAYAN STORES	54933	37316.85	1445.42	0	0	0	0	0	0	35871.43	0	0	35871.43	0
31-07-2025	Route004	19344	SUBASINGHE STORES	54966	13042.5	521.7	0	0	0	0	0	0	12520.8	0	0	12520.8	0
31-07-2025	Route004	19332	PRASADI STORES	54965	11312.5	452.5	0	0	0	0	0	0	10860	0	10860	0	0
31-07-2025	Route004	19337	GAMAGE STORES	54964	16038.9	603.76	0	0	0	3067.35	0	0	12367.79	12367.79	0	0	0
31-07-2025	Route004	1047838	Jayasinghe Vege Shop	54963	12292.8	491.71	0	0	0	0	0	0	11801.09	11801.09	0	0	0
31-07-2025	Route004	679300	A D FRUITS 	54962	2615.8	0	0	0	0	0	0	0	2615.8	2615.8	0	0	0
31-07-2025	Route004	342568	SILVA STORES 	54961	742.5	0	0	0	0	0	0	0	742.5	742.5	0	0	0
31-07-2025	Route004	19352	SILVERLINE GROCERY	54960	28485	950.4	0	283.5	0	2823.8	0	0	24427.3	0	0	24427.3	0
02-08-2025	Route004	19343	PRASHADI STORES	55009	351	0	0	0	0	0	0	0	351	351	0	0	0
04-08-2025	Route004	264612	GAYAN STORES	55034	864	0	0	0	0	0	0	0	864	864	0	0	0
04-08-2025	Route004	679300	A D FRUITS 	55033	3263.35	119.05	0	0	0	0	0	0	3144.3	0	0	3144.3	0
08-08-2025	Route004	679300	A D FRUITS 	55111	540	0	0	0	0	0	0	0	540	540	0	0	0
16-08-2025	Route004	19357	RUHUNU TRADERS	55213	10090.3	403.61	0	0	0	0	0	0	9686.69	0	9686.69	0	0
16-08-2025	Route004	130898	YUKEE PHARMACY	55212	4047	0	0	0	0	0	0	0	4047	0	4047	0	0
16-08-2025	Route004	19345	DAILY FOODS	55209	1512	0	0	0	0	0	0	0	1512	1512	0	0	0
16-08-2025	Route004	19344	SUBASINGHE STORES	55208	14506.5	548.76	0	0	0	303.75	0	0	13653.99	13653.99	0	0	0
16-08-2025	Route004	238361	HANSANA STORES	55207	2664.2	0	0	0	0	0	0	0	2664.2	2664.2	0	0	0
16-08-2025	Route004	277000	PUBUDU STORES	55206	8866.25	0	0	0	0	0	0	0	8866.25	0	8866	0.25	0
19-08-2025	Route004	264612	GAYAN STORES	55253	1080	0	0	0	0	0	0	0	1080	1080	0	0	0
20-08-2025	Route004	264612	GAYAN STORES	55276	2484	0	0	0	0	0	0	0	2484	2484	0	0	0
21-08-2025	Route004	19332	PRASADI STORES	55313	1284.8	0	0	0	0	0	0	0	1284.8	1284.8	0	0	0
21-08-2025	Route004	1047839	Everfresh Bakers	55312	81	3.24	0	0	0	0	0	0	77.76	77.76	0	0	0
21-08-2025	Route004	19349	RAJAPAKSHA STORES	55311	1215	0	0	0	0	0	0	0	1215	1215	0	0	0
21-08-2025	Route004	679300	A D FRUITS 	55310	10463.7	399.65	0	0	0	0	0	0	10064.05	64.05	10000	0	0
21-08-2025	Route004	19354	GAYAN STORES	55309	18640.95	698.39	0	0	0	0	0	0	17942.56	0.56	17942	0	0
21-08-2025	Route004	277000	PUBUDU STORES	55307	2758.9	0	0	0	0	0	0	0	2758.9	2758.9	0	0	0
22-08-2025	Route004	19345	DAILY FOODS	55322	15198.1	607.92	0	0	0	0	630	0	13960.18	0.18	13960	0	0
22-08-2025	Route004	19344	SUBASINGHE STORES	55321	1484.7	0	0	0	0	0	0	0	1484.7	1484.7	0	0	0
22-08-2025	Route004	22672	MALLIKA STORES	55320	3206	0	0	0	0	0	0	0	3206	3206	0	0	0
22-08-2025	Route004	19332	PRASADI STORES	55319	15016.6	569.16	0	0	0	0	0	0	14447.44	0	14448	-0.56	0
22-08-2025	Route004	19337	GAMAGE STORES	55318	24533.5	918.7	0	0	0	996.75	0	0	22618.05	0	0	22618.05	0
22-08-2025	Route004	1047838	Jayasinghe Vege Shop	55317	5997	0	0	0	0	630	0	0	5367	5367	0	0	0
22-08-2025	Route004	19352	SILVERLINE GROCERY	55315	117199.1	4407.09	0	421.31	0	2094	0	0	110276.7	0	0	110276.7	0
28-08-2025	Route004	19344	SUBASINGHE STORES	55451	14545.5	550.32	0	0	0	369.6	0	0	13625.58	0	0	13625.58	0
28-08-2025	Route004	238361	HANSANA STORES	55450	873	0	0	0	0	0	0	0	873	873	0	0	0
28-08-2025	Route004	679281	UPUL VEGETABLE 	55448	4863.45	0	0	0	0	225	0	0	4638.45	0.45	4638	0	0
04-09-2025	Route004	19344	SUBASINGHE STORES	55602	5354.7	214.19	0	0	0	0	0	0	5140.51	0	0	5140.51	0
